"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD";"GEO_OBJECT"
"GEO";"Géographie";"106";"Mont-de-Marsan";"AAV2020"
"GEO";"Géographie";"058";"Colmar";"AAV2020"
"GEO";"Géographie";"074";"Blois";"AAV2020"
"GEO";"Géographie";"122";"Moulins";"AAV2020"
"GEO";"Géographie";"090";"Charleville-Mézières";"AAV2020"
"GEO";"Géographie";"156";"Auchel - Lillers";"AAV2020"
"GEO";"Géographie";"140";"Rochefort";"AAV2020"
"GEO";"Géographie";"023";"Saint-Étienne";"AAV2020"
"GEO";"Géographie";"107";"Montélimar";"AAV2020"
"GEO";"Géographie";"059";"Douai";"AAV2020"
"GEO";"Géographie";"075";"Laval";"AAV2020"
"GEO";"Géographie";"157";"Épernay";"AAV2020"
"GEO";"Géographie";"141";"Romans-sur-Isère";"AAV2020"
"GEO";"Géographie";"123";"Aurillac";"AAV2020"
"GEO";"Géographie";"091";"Carcassonne";"AAV2020"
"GEO";"Géographie";"060";"Béziers";"AAV2020"
"GEO";"Géographie";"108";"Cambrai";"AAV2020"
"GEO";"Géographie";"076";"Beauvais";"AAV2020"
"GEO";"Géographie";"142";"Saint-Dié-des-Vosges";"AAV2020"
"GEO";"Géographie";"158";"Sélestat";"AAV2020"
"GEO";"Géographie";"092";"Fréjus";"AAV2020"
"GEO";"Géographie";"124";"Saint-Lô";"AAV2020"
"GEO";"Géographie";"174";"Beaune";"AAV2020"
"GEO";"Géographie";"061";"Montbéliard";"AAV2020"
"GEO";"Géographie";"077";"Maubeuge (partie française)";"AAV2020"
"GEO";"Géographie";"109";"Montluçon";"AAV2020"
"GEO";"Géographie";"175";"Marmande";"AAV2020"
"GEO";"Géographie";"143";"Aubenas";"AAV2020"
"GEO";"Géographie";"159";"Libourne";"AAV2020"
"GEO";"Géographie";"093";"Agen";"AAV2020"
"GEO";"Géographie";"125";"Béthune";"AAV2020"
"GEO";"Géographie";"078";"Compiègne";"AAV2020"
"GEO";"Géographie";"110";"Vichy";"AAV2020"
"GEO";"Géographie";"144";"Louviers";"AAV2020"
"GEO";"Géographie";"176";"Montceau-les-Mines";"AAV2020"
"GEO";"Géographie";"160";"Chaumont";"AAV2020"
"GEO";"Géographie";"094";"Saint-Quentin";"AAV2020"
"GEO";"Géographie";"193";"Verdun";"AAV2020"
"GEO";"Géographie";"126";"Draguignan";"AAV2020"
"GEO";"Géographie";"079";"Roanne";"AAV2020"
"GEO";"Géographie";"145";"Auch";"AAV2020"
"GEO";"Géographie";"177";"Bar-le-Duc";"AAV2020"
"GEO";"Géographie";"161";"Annonay";"AAV2020"
"GEO";"Géographie";"111";"Dax";"AAV2020"
"GEO";"Géographie";"095";"Épinal";"AAV2020"
"GEO";"Géographie";"194";"Issoire";"AAV2020"
"GEO";"Géographie";"080";"Bourg-en-Bresse";"AAV2020"
"GEO";"Géographie";"146";"Saint-Dizier";"AAV2020"
"GEO";"Géographie";"162";"Lisieux";"AAV2020"
"GEO";"Géographie";"096";"Saint-Omer";"AAV2020"
"GEO";"Géographie";"178";"Saint-Avold (partie française)";"AAV2020"
"GEO";"Géographie";"195";"Saint-Gaudens";"AAV2020"
"GEO";"Géographie";"127";"Haguenau";"AAV2020"
"GEO";"Géographie";"112";"Châlons-en-Champagne";"AAV2020"
"GEO";"Géographie";"147";"Roussillon";"AAV2020"
"GEO";"Géographie";"211";"Arcachon - La Teste-de-Buch";"AAV2020"
"GEO";"Géographie";"163";"Cluses";"AAV2020"
"GEO";"Géographie";"179";"Guéret";"AAV2020"
"GEO";"Géographie";"097";"Nevers";"AAV2020"
"GEO";"Géographie";"212";"Chemillé-en-Anjou";"AAV2020"
"GEO";"Géographie";"196";"Gien";"AAV2020"
"GEO";"Géographie";"128";"Soissons";"AAV2020"
"GEO";"Géographie";"113";"Lannion";"AAV2020"
"GEO";"Géographie";"148";"Carpentras";"AAV2020"
"GEO";"Géographie";"098";"Ajaccio";"AAV2020"
"GEO";"Géographie";"164";"Abbeville";"AAV2020"
